Patent_No,IPC_all,Inventor,Family_Patent,Forward,Family_Country
us010000098b2,B60C-023/04 | B60C-023/00,Franz Michael Darrer | Walter Schuchter,CN 107020903 A | DE 102015120453 A1 | US 10000098 B2 | US 2017144495 A1 | US 2018281534 A1 | US)us010000098b2,,3
us010000103b2,B60G-017/0165,Davorin David Hrovat | Li Xu | Eric Hongtei Tseng,CN 106183692 A | DE 102016108660 A1 | MX 2016006365 A | US 10000103 B2 | US 2016347143 A1 | US 2017-0297401 A1 | US 9669677 B2 | US)us010000103b2,1,4
us010000127b2,B60L-015/00 | B60L-011/18,Xu Wang,US)us010000127b2 | WO 2016134565 A1,1,2
us010000130b2,B60L-003/12 | B60L-003/04 | B60L-003/00 | B60L-011/18 | H02J-007/00,Qingmin Yuan,CN 105196888 A | CN 105196888 B | US 10000130 B2 | US 2016243956 A1 | US)us010000130b2,1,2
us010000134b2,H02J-050/10 | H02J-050/80 | H02J-050/90 | H02J-007/02 | B60L-011/18 | H02J-007/00,Wei Zhang | Jeff C. White | Chris Mi,DE 102016122968 A1 | US 10000134 B2 | US 2017-0274788 A1 | US)us010000134b2,,2
us010000136b2,H02J-007/04 | H02J-003/14 | H02J-007/00 | B60L-011/18,Young Jin Jang | Soung Han Noh | Jun Yeon Park | Hyung Souk Kang,CN 106921189 A | KR 101798514 B1 | KR 20170054012 A | US 10000136 B2 | US 2017129348 A1 | US)us010000136b2,,3
us010000137b2,B60L-011/18 | H01M-010/46,Tomokazu Masuda | Tomohiro Inoue,CN 105917548 A | CN 105917548 B | EP 3092149 A1 | JP 2015133796 A | JP 5880582 B2 | US 10000137 B2 | US 2016325636 A1 | US)us010000137b2 | WO 2015104750 A1,1,5
us010000155b2,B60R-011/04 | B60R-001/00,Joerg Schrepfer,DE 102013214368 A1 | DE 112014003389 A5 | EP 3024700 A1 | EP 3024700 B1 | JP 2016530150 A | KR 20160034304 A | US 10000155 B2 | US 2016167583 A1 | US)us010000155b2 | WO 2015010861 A1,5,6
us010000169b2,B60R-016/033 | B60L-001/00,Kee Hoon Choi,US)us010000169b2,,1
us010000172b2,G01S-017/93 | G01S-017/02 | B60Q-009/00 | E05F-015/40 | B60R-021/0134 | B60B-039/00,Alexandru Mihai Gurghian | Scott Vincent Myers | Mohamed Ahmad | Lisa Scaria,CN 107539214 A | GB 201710089 D0 | GB 2554123 A | US 10000172 B2 | US 2017369016 A1 | US 2018251091 A1 | US)us010000172b2,,3
us010000174b2,B60R-021/00 | B60R-021/232 | B60R-021/231 | B60R-021/213,Masaaki Okuhara | Koji Kawamura | Yuji Sato | Takuya Hiraiwa,JP 2017065398 A | US 10000174 B2 | US 2017088082 A1 | US)us010000174b2,1,2
us010000180b2,B60R-021/00 | B60R-021/36,Naoya Higashimachi,US)us010000180b2,3,1
us010000191b2,B60L-007/18 | B60T-013/74 | B60T-013/14 | B60T-013/68 | B60T-011/22 | B60T-008/26 | B60T-015/00,Gebhard Wuerth | Volker Mehl | Michael Kunz | Matthias Leiblein | Werner Quirant,BR PI0822004 A2 | CN 101909957 A | CN 101909957 B | CN 104828043 A | CN 104828043 B | DE 102008004201 A1 | EP 2234853 A1 | EP 2234853 B1 | JP 2011509212 A | JP 2011509212 T | JP 5216101 B2 | KR 1550945 B1 | KR 20100103576 A | RU 2010133871 A | RU 2505431 C2 | US 10000191 B2 | US 2010276240 A1 | US 2017-0190327 A1 | US 9630602 B2 | US)us010000191b2 | WO 2009089944 A1,1,9
us010000197b2,B60W-020/11 | B60K-006/485 | B60W-010/06 | B60W-010/08 | B60W-020/10,Vivek A. Sujan | Arun Prakash Thunga Gopal | Subbarao Varigonda | Jaroslaw Leonarski | Praveen Chitradurga Muralidhar,US 10000197 B2 | US 2017043757 A1 | US)us010000197b2,,1
us010000199b2,B60W-020/40 | B60W-010/08 | B60W-010/06 | B60W-050/00 | B60W-020/13 | B60W-020/00,Yubo Lian | Dongsheng Yang | Jintao Zhang | Hongbin Luo,US)us010000199b2,4,1
us010000204b2,B60W-050/00 | B60K-006/48 | F16D-048/08 | B60K-006/387 | B60W-030/18 | B60W-020/00 | B60W-010/08 | B60W-010/02 | B60W-020/40,Song Il Park | Do Hee Kim | Yeon Bok Kim | Sungdeok Kim,US)us010000204b2,1,1
us010000206b2,F16H-003/44 | F16H-003/00 | B60K-006/445 | F16H-003/66 | F16H-003/72 | F16H-061/12 | F16H-061/02 | B60W-020/50,Nobufusa Kobayashi | Masato Yoshikawa | Takaaki Tanaka,US)us010000206b2,,1
us010000212b2,B60W-030/16 | B60W-030/14,Youngchul Oh | Hyoung Geun Kwon | Kicheol Shin | MyungSeon Heo | Byungyong You,US)us010000212b2,,1
us010000216b2,B60W-050/14 | B60W-050/00 | B60R-001/00 | G05D-001/02 | G05D-001/00 | B60W-050/08,Brian Douglas Cullinane | Philip Nemec | Manuel Christian Clement | Robertus Christianus Elisabeth Mariet | Lilli Ing-Marie Jonsson,US)us010000216b2,,1
us010000236b2,B62D-006/08 | G05D-001/02 | G08G-001/16 | G05D-001/00 | B62D-015/02,Hirotada Otake | Masaki Takano,US)us010000236b2,,1
us010000237b2,B62D-006/00 | G08G-001/16 | G05D-001/02 | B62D-015/02 | B62D-012/02,Masayuki Katoh,US)us010000237b2,1,1
us010000503b2,C08G-018/77 | C08G-018/32 | B60L-011/18 | H04B-003/54 | C07D-493/04 | H02J-007/00,Takeshi Hagihara | Ryou Okada | Yousuke Takata | Hiroya Andoh | Yuta Ochiai | Nobuyuki Nakagawa | Yukihiro Miyashita,CN 103797721 A | CN 103797721 B | EP 2755332 A1 | EP 2755332 A4 | EP 2755332 B1 | JP 5876495 B2 | JP WO2013035852 A1 | US 10000503 B2 | US 10081638 B2 | US 2014312840 A1 | US 2015274861 A1 | US 2015274880 A1 | US 2017044178 A1 | US 9688794 B2 | US)us010000503b2 | WO 2013035852 A1 | WO 2014062625 A1 | WO 2014062631 A1,,5
us010001379b2,G06Q-010/00 | G01C-021/36 | G06F-017/30 | G01C-021/34 | G05D-001/00,Alec Barker | Cory Bradshaw,DE 112016003980 T5 | GB 201802952 D0 | GB 2556789 A | US 10001379 B2 | US 2017059337 A1 | US)us010001379b2 | WO 2017040567 A1,,4
us010001380b2,G06F-021/57 | G06F-021/55 | G01S-019/42 | H04W-004/04 | G08G-001/14 | G08G-001/0968 | G08G-001/0967 | G08G-001/01 | G01C-021/34 | G01C-021/36 | G01C-021/00,Koushik Annapureddy | Keir Finlow-Bates,US 10001380 B2 | US 2014278074 A1 | US 2015170515 A1 | US 2016252360 A1 | US 8972175 B2 | US 9336681 B2 | US)us010001380b2 | WO 2014158411 A1,,2
