id	cluster1	cluster2	cluster3	cluster4	cluster5
1	1	0	0	1	0
2	0	1	0	0	1
3	0	0	1	0	0
4	0	0	1	0	0
5	1	0	0	1	0
6	0	1	0	0	1
7	1	0	1	1	0
8	1	0	1	1	0
9	1	0	0	1	0
10	1	0	0	1	0
11	1	0	1	1	0
12	1	0	1	1	0
13	0	1	0	0	1
14	1	1	0	1	1
15	1	0	0	1	0
16	1	0	0	1	0
17	1	0	0	1	0
18	1	0	0	1	0
19	1	0	0	1	0
20	1	0	0	1	0
21	1	1	0	1	1
22	1	0	0	1	0
23	1	1	0	1	1
24	1	1	0	1	1
25	1	1	0	1	1
26	1	0	1	1	0
27	1	0	1	1	0
28	1	0	0	1	0
29	1	0	0	1	0
30	1	0	0	1	0
31	0	1	0	0	1
32	0	1	0	0	1
33	0	0	1	0	0
34	1	0	1	1	0
35	1	0	1	1	0
36	1	0	1	1	0
37	1	0	0	1	0
38	1	0	0	1	0
39	1	0	0	1	0
40	0	1	0	0	1
41	1	0	0	1	0
42	0	0	1	0	0
43	0	0	1	0	0
44	1	0	0	1	0
45	0	0	1	0	0
46	0	0	1	0	0
47	0	0	1	0	0
48	1	0	0	1	0
49	0	0	1	0	0
50	0	0	1	0	0
51	1	0	0	1	0
52	1	0	1	1	0
53	1	0	0	1	0
54	1	0	0	1	0
55	1	0	0	1	0
56	1	0	0	1	0
57	1	0	1	1	0
58	1	0	0	1	0
59	1	1	0	1	1
60	1	0	1	1	0
61	1	0	0	1	0
62	1	1	0	1	1
63	0	1	0	0	1
64	0	1	0	0	1
65	0	1	0	0	1
66	0	1	0	0	1
67	1	0	0	1	0
68	0	1	0	0	1
69	0	1	0	0	1
70	0	1	0	0	1
71	0	1	0	0	1
72	1	1	0	1	1
73	0	1	0	0	1
74	0	0	1	0	0
75	0	0	1	0	0
76	0	1	0	0	1
77	0	1	0	0	1
78	0	1	0	0	1
79	0	1	0	0	1
80	0	1	0	0	1
81	0	1	0	0	1
82	0	1	0	0	1
83	0	1	0	0	1
84	1	0	0	1	0
85	0	1	0	0	1
86	0	1	0	0	1
87	0	1	0	0	1
88	0	1	0	0	1
89	1	0	0	1	0
90	0	1	0	0	1
91	0	1	0	0	1
92	1	0	1	1	0
93	1	0	0	1	0
94	0	1	0	0	1
95	0	1	0	0	1
96	0	1	0	0	1
97	0	1	0	0	1
98	1	0	0	1	0
99	0	1	0	0	1
100	1	1	0	0	1
101	1	0	1	0	0
102	1	1	0	0	1
103	1	0	0	1	0
104	1	1	0	1	1
105	1	0	0	1	0
106	1	0	1	0	0
107	1	0	1	1	0
108	1	0	0	1	0
109	1	0	0	1	0
110	1	0	0	1	0
111	1	0	1	0	0
112	1	0	1	0	0
113	1	0	1	0	0
114	1	1	0	0	1
115	1	0	0	1	0
116	1	0	0	1	0
117	1	0	1	0	0
118	1	1	0	0	1
119	1	0	0	1	0
120	1	1	0	0	1
121	1	1	0	0	1
122	1	0	0	1	0
123	1	0	1	1	0
124	1	0	1	0	0
125	1	0	0	1	0
126	1	0	0	1	0
127	1	0	0	1	0
128	1	0	1	1	0
129	1	0	0	1	0
130	1	0	1	1	0
131	1	0	1	0	0
132	1	0	1	0	0
133	1	0	0	1	0
134	1	1	0	0	1
135	1	0	1	1	0
136	1	0	1	0	0
137	1	0	0	1	0
138	1	0	0	1	0
139	1	0	0	1	0
140	1	0	1	1	0
141	1	0	1	0	0
