ipc,tech,family,claim,citation,y
A,2.75,1.447368421,0.946236559,2.75,Y
A,0.6875,1.157894737,1.123655914,0,N
A,0.34375,1.157894737,1.123655914,0,N
A,2.75,0.578947368,1.301075269,0,N
A,0.6875,0.868421053,1.537634409,5.5,Y
A,0.6875,1.157894737,1.301075269,0,N
A,0.6875,0.578947368,0.591397849,0,N
A,0.6875,0.578947368,0.591397849,2.75,Y
A,0.34375,0.289473684,0.177419355,0,N
A,0.6875,1.447368421,1.596774194,0,N
A,0.6875,1.736842105,0.709677419,0,N
B,0.285714286,1,1.846153846,0,N
B,1.714285714,1,0.153846154,0,N
B,0.6,1,1.555555556,0,N
B,1.4,1,0.444444444,0,N
B,1,0.75,0.648648649,0,N
B,1,1.25,1.351351351,0,N
A,0.703703704,1.357142857,0.987767584,0,N
A,1.055555556,1.017857143,1.162079511,0,N
A,3.87037037,1.017857143,1.162079511,6.333333333,Y
A,0.703703704,0.678571429,0.406727829,0,N
A,0.703703704,1.696428571,1.103975535,0,N
A,0.703703704,1.017857143,0.813455657,0,N
A,0.703703704,1.696428571,1.162079511,0,N
A,1.055555556,1.017857143,1.162079511,0,N
A,0.351851852,0.678571429,1.162079511,0,N
A,0.703703704,1.017857143,1.510703364,0,N
A,0.703703704,0.339285714,1.162079511,0,N
A,0.703703704,0.339285714,0.348623853,0,N
A,0.351851852,0.339285714,0.464831804,0,N
A,0.703703704,1.357142857,1.685015291,0,N
A,0.351851852,0.678571429,1.162079511,6.333333333,Y
A,0.703703704,0.339285714,0.871559633,0,N
A,1.407407407,2.035714286,1.220183486,0,N
A,2.111111111,0.678571429,0.871559633,6.333333333,Y
A,1.407407407,1.696428571,0.581039755,0,N
B,1.333333333,1,1.133333333,0,N
B,0.666666667,1,0.866666667,0,N
B,1.5,1.5,0.4,0,N
B,0.5,0.5,1.6,0,N
B,0.375,0.75,0.923076923,0,N
B,0.75,1.875,1.384615385,1,Y
B,1.875,0.375,0.692307692,0,N
C,0.8,1,1.25,0,N
C,1.2,1,0.75,0,N
A,1.466666667,1.157894737,0.912442396,0,N
A,0.733333333,1.447368421,1.115207373,0,N
A,2.2,0.868421053,1.013824885,1,Y
A,0.733333333,1.447368421,1.064516129,0,N
A,0.366666667,0.289473684,0.608294931,0,N
A,0.733333333,0.289473684,0.760368664,0,N
A,1.1,0.289473684,0.253456221,0,N
A,1.466666667,0.289473684,0.253456221,0,N
A,0.366666667,1.736842105,1.723502304,0,N
A,0.733333333,1.447368421,2.230414747,0,N
A,1.1,1.736842105,1.064516129,0,N
B,1,1,1,1,Y
B,1,1,1,0,N
A,1.32,0.523809524,1.654135338,5.5,Y
A,0.88,3.142857143,1.571428571,0,N
A,0.88,0.523809524,0.744360902,0,N
A,1.32,0.785714286,0.992481203,1.375,Y
A,0.88,1.047619048,0.744360902,0,N
A,0.88,1.047619048,0.330827068,0,N
A,0.88,0.261904762,0.496240602,0,N
A,0.44,0.261904762,0.330827068,1.375,Y
A,0.88,0.523809524,1.488721805,0,N
A,0.88,0.261904762,1.654135338,1.375,Y
A,1.76,2.619047619,0.992481203,1.375,Y
B,1.75,1,1.352941176,0.4,N
B,0.25,1,0.647058824,1.6,Y
B,0.9,0.75,0.833333333,0,N
B,0.9,1.5,0.5,1.5,Y
B,1.2,0.75,1.666666667,1.5,Y
A,1.096774194,0.829268293,1.140243902,0,N
A,0.548387097,0.829268293,0.829268293,0,N
A,2.193548387,0.829268293,0.932926829,0,N
A,1.096774194,1.243902439,1.658536585,0.76119403,N
A,1.096774194,2.073170732,2.384146341,15.47761194,Y
A,0.548387097,0.829268293,1.036585366,0,N
A,0.548387097,0.829268293,0.932926829,0.507462687,N
A,1.64516129,1.658536585,0.518292683,0,N
A,1.096774194,0.414634146,0.725609756,0,N
A,1.096774194,0.414634146,1.036585366,0,N
A,0.548387097,0.414634146,0.103658537,0,N
A,1.096774194,0.414634146,1.036585366,0,N
A,1.096774194,0.414634146,1.865853659,0,N
A,0.548387097,2.487804878,0.207317073,0,N
A,1.096774194,0.414634146,0.31097561,0,N
A,0.548387097,1.658536585,1.140243902,0,N
A,1.096774194,1.243902439,1.140243902,0.253731343,N
B,0.857142857,0.333333333,1.166666667,0,N
B,0.857142857,0.666666667,0.5,1,Y
B,1.285714286,2,1.333333333,0,N
B,1,0.666666667,0.930232558,0,N
B,1,0.666666667,0.558139535,0,N
B,0.666666667,0.666666667,0.837209302,0,N
B,1.333333333,2,1.674418605,0,N
C,1,1.333333333,1,0,N
C,1,0.666666667,1,1,Y
A,1.333333333,1.090909091,1.666666667,6.6,Y
A,1.333333333,1.090909091,1.888888889,1.8,Y
A,0.666666667,1.090909091,0.444444444,1.2,Y
A,0.666666667,1.636363636,3,1.8,Y
A,1.333333333,1.090909091,1.222222222,0.6,N
A,0.666666667,0.545454545,0.111111111,0,N
A,1.333333333,1.090909091,1.666666667,0,N
A,0.666666667,0.545454545,0.111111111,0,N
A,0.666666667,0.545454545,0.222222222,0,N
A,0.666666667,1.090909091,0.666666667,0,N
A,0.666666667,1.636363636,0.555555556,0,N
A,2,0.545454545,0.444444444,0,N
B,1.333333333,1.25,0.5,0.666666667,N
B,0.666666667,0.75,1.5,1.333333333,Y
B,0.571428571,0.666666667,1.306122449,4,Y
B,1.142857143,0.666666667,1.306122449,0,N
B,1.142857143,1.111111111,0.653061224,0,N
B,1.142857143,1.555555556,0.734693878,0,N
A,0.44,0.55,1.336448598,1,Y
A,0.44,1.1,1.542056075,1,Y
A,0.88,0.55,1.336448598,1,Y
A,0.44,0.55,1.028037383,1,Y
A,0.44,0.55,0.822429907,1,Y
A,1.32,0.55,0.822429907,1,Y
A,1.32,2.75,0.411214953,1,Y
A,0.44,0.55,0.308411215,1,Y
A,2.64,2.75,2.056074766,1,Y
A,1.76,0.55,0.514018692,1,Y
A,0.88,0.55,0.822429907,1,Y
A,0.545454545,2.2,2.033898305,0.036870952,N
A,0.545454545,0.55,0.406779661,0,N
A,1.090909091,1.1,0.406779661,0,N
A,1.090909091,1.1,1.118644068,0.000498256,N
A,0.545454545,0.55,1.118644068,0,N
A,0.545454545,0.55,1.118644068,0,N
A,1.636363636,0.55,0.813559322,0.000498256,N
A,0.545454545,0.55,0.711864407,0,N
A,1.090909091,0.55,0.305084746,0.003487793,N
A,1.636363636,2.2,2.13559322,0,N
A,1.090909091,0.55,0.508474576,0,N
A,1.636363636,0.55,1.322033898,0,N
A,0.6,1.875,0.692307692,0,N
A,1.8,0.75,1.923076923,0,N
A,0.6,0.375,0.384615385,0,N
A,0.4,0.363636364,3.386243386,0.842105263,N
A,1.2,2.181818182,2.37037037,2.947368421,Y
A,0.4,0.727272727,1.354497354,2.526315789,Y
A,0.8,1.090909091,0.338624339,0.421052632,N
A,0.8,1.090909091,0.169312169,0.421052632,N
A,0.8,1.090909091,1.015873016,0,N
A,0.8,1.818181818,0.423280423,0,N
A,0.4,0.363636364,0.423280423,0,N
A,0.8,0.363636364,0.761904762,0.842105263,N
A,0.4,0.363636364,0.423280423,0,N
A,4.4,1.818181818,0.677248677,0.842105263,N
A,0.8,0.363636364,1.185185185,0.421052632,N
A,0.4,0.363636364,0.423280423,0,N
A,0.4,2.181818182,0.677248677,0.421052632,N
A,2.8,1.454545455,1.100529101,6.315789474,Y
A,0.4,0.363636364,1.26984127,0,N
A,1,2.25,1.945945946,4.5,Y
A,1,2.25,1.945945946,4.5,Y
B,0.5,0.666666667,0.909090909,1.2,Y
A,1.714285714,1.428571429,2.1875,6.117647059,Y
A,1.714285714,0.857142857,0.75,1.411764706,Y
A,1,2.142857143,2.467741935,1.714285714,Y
A,2.181818182,2,2.666666667,3.225806452,Y
A,1,0.555555556,0.5,1.875,Y
A,1,1.111111111,1.5,1.875,Y
A,0.666666667,1,0.272727273,1.363636364,Y
