id,p_num,title,abst
1,US12572939,"SOFTWARE RELIABILITY TEST METHOD USING SELECTIVE FAULT ACTIVATION, TEST AREA RESTRICTION METHOD, WORKLOAD GENERATION METHOD AND COMPUTING APPARATUS FOR TESTING SOFTWARE RELIABILITY USING THE SAME"," Provided are a software reliability test method using selective fault activation, a test area restriction method, a workload generation method and a computing apparatus for testing software reliability using the same. The software reliability test method registers a test target module. The software reliability test method injects a fault into a fault injection target function when a caller of the fault injection target function is included in the registered module, in a case of calling the fault injection target function. "
2,US10561567,Method for checking the safety and reliability of software-based electronic system," A method for checking the safety and reliability of software-based electronic systems, using a reliability function for checking the functions of the system that are called for, based on the hardware components of the system required for this. In this connection it is provided that a reliability function is determined for calculating the reliability of at least one of the required functions of the system, and an additional reliability function is determined for calculating the reliability of at least one of the safety functions of the system, in the determination of these reliability functions, software components of the system being taken into consideration with the aid of hardware components onto which these software components are distributed. This makes possible the early valuation of different monitoring concepts for such systems, and of functions of these systems which are implemented by software and hardware.  "
3,US11019543,"Software mechanism for generating flexible equipment state model views, software mechanism for measuring equipment reliability"," A state model engine according to one embodiment is configured to dynamically determine Reliability, Availability, and Maintainability data in a lithographic processing system. The engine evaluates whether state changes occur in defined state models, based on transition events published by other state models.  "
4,EP0473-8766.7,METHOD FOR CHECKING THE SAFETY AND RELIABILITY OF A SOFTWARE-BASED ELECTRONIC SYSTEM,
5,WOPCT/-DE2004/001317,METHOD FOR CHECKING THE SAFETY AND RELIABILITY OF A SOFTWARE-BASED ELECTRONIC SYSTEM," The invention relates to a method for checking the safety and reliability of a&#13; software-based electronic system by means of a reliability function for checking&#13; the required functions of a system based on hardware components required therefor.&#13; The inventive method consists in determining a reliability function used for&#13; calculating the reliability of at least one required system function and another&#13; reliability function for calculating at least one system safety function. In&#13; order to determine said reliability functions, the system software components&#13; are also taken into consideration on the basis of hardware components on which&#13; the software components are distributed. In such a manner, the early evaluation&#13; of various monitoring concepts for such systems produced by means of software&#13; and hardware is obtainable. "
6,CN2011-10312104,Reliability analysis method for component software based on test data conversion of CSTM (component software test model),"The invention provides a reliability analysis method for component software based on test data conversion of a CSTM (component software test model) and relates to a software reliability analysis method. The method is used for solving the defects that the test and reliability information of components for constituting a system are ignored and the architecture of software is not considered in an existing black box approach. The method is a test data conversion method to realize the combination of the black box approach and a white box approach. The method provided by the invention comprises the following steps: firstly, adopting the white box approach to realize the mapping from a component software testing profile to a component software operating profile, building a reliability data set required by an NHPP (non-homogeneous poisson process) model, and then adopting the black box approach to build the NHPP model of component software application. The purpose of the test data conversion is to convert a heterogeneous component software gray box testing process which is realized stage by stage into a monotonous and uniform black box testing process meeting NHPP model assumption and to convert unit testing data of all the components and interface failure data among components in integration testing into black box testing data on the basis of the whole application, so as to a reliability data set meeting the NHPP model assumption."
7,10249644,Software crash event analysis method involves computing reliability of software from data contained in event log,"The operation signals from checkpoints of two software are transmitted sequentially to an event log (14). The reliability of the software, is computed from the data contained in the event log.  An Independent claim is also included for software crash event analysis system."
8,US07964742,System for operating application software in a safety critical environment,A system and method for operating application software in a safety critical environment comprises providing a data processor having an operating system for effecting processing operations and an intermediate shell which interacts with the operating system and application software to emulate a safety critical environment to the application software. The application software is run by interacting solely with the intermediate shell to effect a safety critical environment therefor.
9,US08389858,Method for operating application software in a safety critical environment,"A method for operating application software in a safety critical environment, comprises loading application software into a computing system, linking the computing system to a set of safety critical rules to verify that the safety critical operations performed by the computing system satisfy rule criteria and running the application software in the computing system. Safety critical operations are performed as background functions during the running of the application software and if a failure to satisfy criteria for a safety critical operation is detected, the system determines the application specific operation being currently performed. The criteria, the action to be taken or both is dynamically adjusted if the currently performed application specific operation is critical operation."
10,US08672323,Appliance control circuit comprising dual microprocessors for enhanced control operation and agency safety redundancy and software application method thereof,An appliance control circuit comprising dual processor control for enhanced control operation and agency safety redundancy. A first processor is disposed in operative communication with operator control switches for primarily controlling the supply of power for principal appliance functions. A second processor is in operative communication with the first processor and disposed for primarily monitoring appliance safety detection circuits and for controlling agency circuitry redundancy through a second switch in series with the first switch. The first and second switches comprise agency circuitry for enabling said supply of power when said first switch is directly enabled by the first processor and the second switch is directly enabled by the second processor for safety redundancy of said power supply.
